,ROC_AUC,PR_AUC,Brier,F1@0.5,Recall@0.5,Precision@0.5
LogisticRegression,0.7084,0.4908,0.2089,0.4612,0.6202,0.3671
XGBoost,0.7754,0.5522,0.1776,0.5323,0.6179,0.4675
